location,date,total_cases_per_million,total_deaths_per_million,reproduction_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests,total_vaccinations,people_vaccinated_per_million,people_vaccinated,total_boosters,stringency_index,vaccination_rates,vaccination_result,population,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,excess_mortality_cumulative_per_million
Estonia,8/1/21,100880.026,959.864,0.00000144,1.509,34.712,1.624329,1.136011,0.64025,640250,0.013491,23.15,48.31389961,low,1325188,19.452,29481.252,0.0000005,0.000255569,0.00000402,0.0000245,0.0000393,,0.00000469,0.892,1271.744085
Eswatini,8/1/21,22364.972,680.673,0.00000147,,,,,,,,66.67,,,1172369,3.163,7738.975,,0.000333436,0.00000394,0.0000017,0.0000165,24.097,0.0000021,0.611,
Ethiopia,8/1/21,2380.166,37.242,0.00000161,,,3.0236,,,,,43.52,,,117876226,3.526,1729.927,0.0000267,0.000182634,0.00000747,0.0000004,0.0000085,7.96,0.0000003,0.485,
European Union,8/1/21,77719.798,1663.436,,,,,474.154749,266.750501,266750501,0.149468,,59.65038389,high,447189915,,,,,,,,,,,
Faeroe Islands,8/1/21,20080.321,40.772,,,,,,,,,41.67,,,49053,,,,,,,,,,,
Falkland Islands,8/1/21,17857.143,,,,,,,,,,,,,3528,,,,,,,,,,,
Fiji,8/1/21,33683.723,266.918,0.00000103,,,0.323242,,,,,67.59,,,902899,6.224,8702.975,0.0000014,0.00041282,0.00001449,0.0000102,0.0000348,,0.0000023,0.743,
Finland,8/1/21,19441.057,181.315,0.00000126,1.262,11.715,5.977824,5.674066,3.705161,3705161,,38.43,66.77937863,high,5548361,21.228,40585.721,,0.000153507,0.00000576,0.0000183,0.0000226,,0.00000328,0.938,51.94326757
France,8/1/21,91804.915,1660.037,0.00000128,16.864,112.441,106.519633,74.822622,43.171784,43171784,0.131512,43.98,64.03219127,high,67422000,19.718,38605.671,,0.00008606,0.00000477,0.0000301,0.0000356,,0.00000598,0.901,930.2660853
French Polynesia,8/1/21,70957.832,527.37,,,,,,,,,,,,282534,7.775,,,,0.00002263,,,,,,
Gabon,8/1/21,11139.054,71.967,0.00000117,,,,,,,,67.59,,,2278829,4.45,16562.413,0.0000034,0.000259967,0.0000072,,,,0.0000063,0.703,
Gambia,8/1/21,3099.797,85.245,0.00000094,,,,,,,,33.33,,,2486937,2.339,1561.767,0.0000101,0.00033143,0.00000191,0.0000007,0.0000312,7.876,0.0000011,0.496,
Georgia,8/1/21,106083.437,1470.687,0.00000129,,,5.212502,0.50678,0.345238,345238,,25,8.674816378,very low,3979773,14.864,9745.079,0.0000042,0.000496218,0.00000711,0.0000053,0.0000555,,0.0000026,0.812,
Germany,8/1/21,44949.235,1092.473,0.00000127,4.338,,67.782552,93.124706,51.792099,51792099,0.002676,64.81,61.73040316,high,83900471,21.453,45229.245,,0.000156139,0.00000831,0.0000282,0.0000331,,0.000008,0.947,478.2058971
Ghana,8/1/21,3246.52,25.936,0.00000122,,,1.459845,,,,,42.59,,,31732128,3.385,4227.63,0.000012,0.000298245,0.00000497,0.0000003,0.0000077,41.047,0.0000009,0.611,
Gibraltar,8/1/21,147813.956,2790.063,,,,,,,,,,,,33691,,,,,,,,,,,
Greece,8/1/21,47721.442,1251.115,0.00000108,,,12.872723,10.538744,5.70636,5706360,,66.2,55.02361595,high,10370747,20.396,24574.382,0.0000015,0.000175695,0.00000455,0.0000353,0.000052,,0.00000421,0.888,1130.8925
Greenland,8/1/21,2145.319,,,,,,,,,,38.89,,,56868,,,,0.000199941,0.00000216,,,,,,
Grenada,8/1/21,1451.135,8.848,0.0000001,,,,,,,,,,,113015,7.304,13593.877,,0.000243964,0.00001071,,,,0.0000037,0.779,
Guam,8/1/21,,,,,,0.121928,,,,,43.52,,,170184,9.551,,,0.000310496,0.00002152,,,,,,
Guatemala,8/1/21,20253.626,570.579,0.0000011,,,1.881882,2.208301,1.870179,1870179,,52.78,10.24763028,very low,18249868,4.694,7423.808,0.0000087,0.000155898,0.00001018,,,76.665,0.0000006,0.663,1305.406702
Guernsey,8/1/21,,,,,,,,,,,,,,63385,,,,,,,,,,,
Guinea,8/1/21,1911.576,16.966,0.00000122,,,,0.904845,0.565283,565283,,62.04,4.188138654,very low,13497237,3.135,1998.926,0.0000353,0.000336717,0.00000242,,,17.45,0.0000003,0.477,
Guinea-Bissau,8/1/21,2231.715,37.708,0.00000128,,,,,,,,,,,2015490,3.002,1548.675,0.0000671,0.000382474,0.00000242,,,6.403,,0.48,
Guyana,8/1/21,28498.258,684.525,0.00000101,,,,,,,,56.48,,,790329,5.305,7435.047,0,0.000373159,0.00001162,,,77.159,0.0000016,0.682,
Haiti,8/1/21,1739.521,47.22,0.00000106,,,,,,,,53.7,,,11541683,4.8,1653.173,0.0000235,0.000430548,0.00000665,0.0000029,0.0000231,22.863,0.0000007,0.51,
High income,8/1/21,68557.668,1281.888,,,,,1219.545805,690.134927,690134927,2.200154,,56.80449049,high,1214930230,,,,,,,,,,,
Honduras,8/1/21,29525.11,778.496,0.00000104,,,,,,,,78.7,,,10062994,4.652,4541.795,0.000016,0.000240208,0.00000721,0.000002,,84.169,0.0000007,0.634,
Hong Kong,8/1/21,1587.094,28.069,,,,,5.719024,3.256004,3256004,0.000021,65.74,43.10989302,low,7552800,16.303,56054.92,,,0.00000833,,,,,0.949,
Hungary,8/1/21,84022.98,3116.618,0.00000112,,8.096,,,5.624451,5624451,,27.78,58.38028258,high,9634162,18.577,26777.561,0.0000005,0.000278296,0.00000755,0.0000268,0.0000348,,0.00000702,0.854,2490.398231
Iceland,8/1/21,21830.734,81.347,0.00000129,5.423,40.673,0.494233,,,,,32.41,,,368792,14.431,46482.958,0.0000002,0.000117992,0.00000531,0.0000143,0.0000152,,0.00000291,0.949,95.17560034
India,8/1/21,22747.059,304.844,0.00000101,,,468.21651,472.223639,367.994586,367994586,,74.54,26.40965985,low,1393409033,5.989,6426.674,0.0000212,0.00028228,0.00001039,0.0000019,0.0000206,59.55,0.00000053,0.645,
Indonesia,8/1/21,12448.885,346.368,0.00000088,,,17.975528,68.151247,47.478168,47478168,,71.76,17.17971516,low,276361788,5.319,11188.744,0.0000057,0.000342864,0.00000632,0.0000028,0.0000761,64.204,0.00000104,0.718,
International,8/1/21,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,8/1/21,45908.22,1070.179,0.00000119,,,,,,,,68.06,,,85028760,5.44,19082.62,0.0000002,0.000270308,0.00000959,0.0000008,0.0000211,,0.0000015,0.783,2025.5029
Iraq,8/1/21,39728.479,454.937,0.0000011,,,13.122716,,,,,75.93,,,41179351,3.186,15663.986,0.0000025,0.000218612,0.00000883,,,94.576,0.0000014,0.674,
